TV;Radio;Social Media;Influencer;Sales
94;3.049.815.694;8.823.311.925;Macro;3.314.840.935
73;2.534.020.889;;Mega;2.583.589.687
36;8.840.112.507;0.962941668;Nano;1.253.870.645
78;2.640.676.494;2.475.101.624;Macro;2.710.264.376
89;2.968.238.385;;Macro;3.202.643.973
44;6.313.173.395;1.310.027.864;Macro;1.528.312.537
79;2.788.320.654;7.467.941.688;Nano;2.827.480.985
41;1.314.265.735;;Nano;1.426.268.646
26;1.526.673.306;2.205.879.856;Macro;8.896.782.897
17;8.197.932.469;2.119.872.253;Mega;6.325.378.214
34;1.266.039.824;;Mega;1.171.141.409
13;8.077.501.591;0.013230147;Nano;4.830.375.112
98;;6.399.729.574;Nano;3.459.528.384
12;3.556.576.557;0.360014914;Micro;3.724.327.179
11;3.785.254.654;1.569.644.569;Micro;4.555.251.127
89;;4.535.458.014;Micro;3.167.256.236
39;1.322.123.736;3.660.566.126;Micro;1.357.731.514
86;2.714.817.277;4.409.399.375;Nano;3.083.930.492
22;;4.132.525.561;Macro;7.803.149.813
76;2.619.267.329;4.127.600.897;Macro;2.696.030.059
33;1.336.586.735;0.012138363;Macro;1.162.374.967
12;;1.230.026.167;Micro;5.000.921.016
83;2.840.915.338;4.085.216.067;Micro;292.857.168
77;2.559.837.924;5.514.786.646;Nano;
37;1.025.291.621;0.86532872;Nano;1.355.300.789
;1.700.707.465;5.199.634.828;Macro;2.088.163.817
92;1.670.376.892;1.888.403.291;Macro;3.255.137.107
100;32.920.194;9.904.286.084;Nano;3.571.245.732
94;3.037.270.595;594.611.293;Mega;3.340.892.379
100;3.646.675.337;5.635.992.458;Mega;
27;3.438.824.491;0.749518789;Mega;9.750.795.879
53;1.904.450.325;2.715.095.722;Macro;1.916.180.402
73;284.645.976;5.545.684.409;Mega;2.564.252.258
78;2.639.407.008;383.736.988;Mega;2.795.906.387
59;2.568.728.652;6.903.109.247;Macro;2.098.956.538
44;1.572.633.981;5.470.316.628;Mega;1.596.309.441
74;2.422.063.365;0.285897607;Micro;
82;3.367.469.531;8.243.045.066;Nano;2.900.198.478
47;1.416.232.438;4.388.114.516;Nano;1.701.261.872
22;3.598.474.281;4.325.620.528;Micro;7.881.257.166
78;2.489.028.294;3.531.093.274;Macro;2.770.940.713
19;8.726.782.674;0.49783849;Mega;
15;9.809.647.258;2.175.099.221;Macro;5.115.173.712
78;3.613.477.932;6.812.528.936;Micro;2.758.154.126
63;1.910.204.333;4.773.049.696;Micro;225.791.715
45;1.222.739.961;1.306.053.839;Nano;1.623.039.063
22;6.809.751.696;0.011450525;Macro;
31;8.843.924.649;0.104810858;Micro;1.111.277.488
23;2.201.752.448;0.376547887;Nano;8.045.443.519
19;4.894.410.734;0.147196027;Macro;6.999.070.666
40;1.190.789.251;1.958.036.191;Nano;1.386.769.979
27;1.384.415.461;239.812.919;Nano;
35;5.392.624.287;0.020639976;Macro;1.185.011.567
63;2.077.468.172;6.259.153.285;Micro;2.290.903.237
78;2.380.959.139;1.915.047.092;Nano;2.769.190.626
91;2.227.671.374;3.290.079.821;Mega;3.226.677.652
44;1.660.931.402;515.906.663;Mega;157.490.072
16;1.225.135.762;1.463.118.167;Mega;5.681.533.661
40;127.084.063;5.838.251.913;Nano;139.792.394
60;2.143.888.957;3.147.751.404;Nano;2.121.691.189
49;1.631.903.668;0.463311511;Micro;1.775.025.509
71;2.602.394.936;3.116.428.483;Mega;2.539.861.099
59;2.127.291.211;3.385.121.455;Nano;2.159.054.823
92;3.329.585.958;1.229.454.172;Macro;3.276.536.439
60;1.901.558.716;5.895.165.277;Mega;2.144.576.138
28;1.093.200.857;1.867.646.115;Nano;9.720.055.286
29;9.197.032.332;3.246.667.727;Micro;9.910.933.661
97;3.170.701.011;4.365.166.691;Nano;3.471.547.599
11;9.398.839.224;3.206.508.472;Mega;4.135.123.045
49;1.376.198.317;2.502.653.025;Nano;1.731.550.912
38;4.338.843.042;0.028073247;Mega;1.398.343.646
18;1.238.447.814;1.637.157.501;Nano;65.125.304
42;1.001.903.472;0.191093711;Nano;1.529.496.029
76;3.231.926.372;6.494.517.858;Mega;2.706.378.511
86;2.991.962.703;6.312.902.998;Mega;3.036.096.465
70;3.047.388.738;5.704.360.367;Nano;2.480.514.829
69;2.436.246.064;5.463.176.008;Macro;2.397.328.932
47;1.459.516.994;0.573235814;Nano;1.621.479.537
46;1.787.483.166;3.918.941.935;Micro;1.675.332.259
98;335.556.744;5.401.715.328;Micro;3.437.047.069
63;1.831.721.305;5.106.410.106;Mega;2.224.538.087
66;1.581.007.671;0.495169721;Mega;2.295.582.512
76;2.143.025.018;3.608.351.353;Nano;2.690.373.261
12;1.284.827.976;2.810.375.342;Nano;4.265.152.205
75;3.827.143.199;8.586.450.249;Micro;2.635.238.127
85;2.524.181.707;5.969.538.042;Nano;2.962.485.996
12;3.188.668.313;0.276135877;Nano;4.684.859.882
90;335.117.751;4.663.526.779;Macro;3.224.697.556
88;354.551.909;4.091.396.616;Macro;3.123.107.698
35;1.881.472.652;3.041.468.747;Mega;1.239.521.411
89;2.611.806.108;4.020.019.107;Nano;3.205.882.954
54;2.245.001.505;3.389.499.568;Nano;1.888.286.445
16;1.095.054.697;1.784.711.655;Mega;5.533.417.257
98;3.207.909.439;4.158.338.824;Mega;3.426.522.282
23;7.989.787.362;0.508955059;Mega;8.470.733.843
93;3.374.742.661;279.805.324;Mega;3.330.773.697
52;1.745.288.044;3.909.853.584;Nano;1.881.163.762
27;8.301.393.097;0.297735659;Mega;9.816.192.205
13;5.358.821.718;3.103.557.138;Nano;4.750.814.092
83;2.193.601.248;4.436.259.637;Micro;2.944.933.353
66;2.157.823.348;887.423.765;Macro;2.319.942.926
19;7.789.507.227;406.782.199;Macro;620.795.245
85;2.377.346.122;4.542.661.031;Mega;3.049.042.152
63;1.971.906.624;5.481.915.242;Nano;2.207.061.299
62;2.507.908.112;5.066.101.233;Nano;225.469.526
45;1.553.732.896;0.125813206;Mega;1.576.872.981
23;6.621.635.323;0.113631173;Mega;7.993.998.662
50;1.136.398.701;232.129.586;Mega;1.853.102.927
60;1.949.995.648;4.912.336.165;Macro;2.162.681.567
25;1.300.455.149;5.277.124.394;Micro;9.195.954.527
31;1.222.596.591;0.397207276;Macro;1.111.431.062
77;2.103.196.536;186.728.813;Micro;2.753.886.734
27;9.235.845.656;2.963.209.488;Nano;9.335.175.941
77;2.558.343.965;3.870.991.902;Macro;2.760.838.978
95;2.554.636.769;1.963.490.079;Micro;3.333.682.547
48;2.537.723.103;3.997.027.881;Micro;1.728.854.592
14;4.643.175.727;0.637375788;Micro;5.397.461.493
24;4.014.313.143;1.258.968.767;Macro;9.149.656.896
65;2.329.031.005;7.389.827.731;Mega;2.291.969.742
35;9.531.452.188;0.103503553;Nano;1.253.393.415
86;2.429.320.314;8.041.212.299;Micro;3.066.065.875
48;1.441.875.328;3.117.413.536;Nano;1.702.833.159
59;1.934.086.431;1.602.340.512;Micro;2.105.717.703
88;2.630.065.656;4.204.039.947;Nano;3.141.805.472
78;2.332.245.121;3.866.739.527;Mega;2.808.316.239
79;3.105.740.864;3.806.952.761;Micro;286.677.508
22;1.060.644.401;1.093.882.341;Macro;7.309.318.596
46;1.761.333.015;3.480.429.694;Macro;1.606.150.905
83;2.377.898.268;2.930.681.192;Micro;2.954.915.271
26;1.210.537.618;4.007.434.704;Macro;9.400.245.512
34;2.089.999.917;0.217752116;Nano;1.231.219.261
50;3.497.200.302;3.337.071.447;Nano;1.747.450.326
79;1.915.584.406;0.014711851;Macro;2.815.928.898
75;2.527.194.402;7.717.105.296;Nano;2.678.036.097
32;1.345.746.031;0.91765612;Mega;1.167.838.444
29;9.487.993.613;0.250432849;Micro;1.057.767.079
96;3.672.307.745;3.950.392.592;Nano;3.430.877.465
74;2.796.329.539;2.837.584.957;Nano;2.583.754.265
49;2.026.585.723;3.446.132.597;Micro;1.718.566.675
34;1.685.678.293;3.886.005.263;Mega;1.189.163.836
37;1.222.871.601;1.749.290.106;Mega;1.290.148.388
37;8.823.525.102;3.405.839.489;Mega;1.325.496.146
59;1.529.205.006;3.340.436.207;Macro;2.082.744.516
48;1.411.561.705;3.328.378.357;Mega;1.755.461.581
80;2.455.463.481;4.832.325.799;Micro;2.855.962.329
28;5.313.706.473;2.473.598.787;Nano;9.149.752.891
64;2.552.828.252;3.140.870.036;Nano;226.276.965
50;2.117.480.421;4.486.404.533;Macro;1.803.195.365
46;1.854.842.127;245.558.294;Nano;1.647.562.034
86;2.478.624.404;6.349.962.293;Mega;3.092.043.274
69;2.959.440.206;8.243.715.012;Nano;246.091.519
85;2.950.102.223;2.518.222.112;Mega;3.005.584.458
52;9.837.592.493;2.080.182.174;Macro;1.837.118.744
54;1.744.304.527;5.549.219.531;Nano;1.910.034.733
17;2.249.203.812;0.395150251;Nano;6.186.530.832
93;2.650.281.649;3.537.618.612;Mega;3.316.478.588
85;2.448.397.916;5.918.985.615;Micro;2.970.564.909
21;1.505.943.316;2.438.904.189;Mega;7.387.341.975
88;3.796.929.695;4.739.682.162;Macro;314.311.367
75;294.842.347;7.237.783.972;Nano;2.687.997.822
38;3.046.308.751;1.743.629.417;Macro;1.323.260.378
95;3.636.570.198;1.944.664.898;Macro;339.115.278
46;2.528.199.938;2.798.757.505;Mega;1.636.396.214
75;2.607.549.862;5.143.706.423;Mega;2.694.449.939
64;1.093.089.931;3.085.375.073;Mega;2.250.640.548
35;8.978.475.946;0.05362699;Nano;1.253.289.243
30;6.122.317.863;2.606.806.497;Mega;1.045.246.807
86;2.773.800.583;5.293.540.405;Macro;3.078.933.318
79;2.318.345.295;0.762159967;Nano;2.827.108.546
16;1.692.417.111;6.447.476.349;Nano;5.465.466.518
63;2.281.607.513;4.717.042.117;Nano;2.284.241.305
78;2.276.810.931;2.964.101.681;Micro;2.773.993.307
24;1.279.448.447;3.973.162.998;Nano;8.622.925.533
34;1.444.535.454;1.270.283.967;Nano;124.595.707
36;1.475.867.975;0.807413059;Micro;1.250.736.865
64;1.761.714.144;5.116.676.896;Micro;2.285.424.705
79;3.737.903.665;4.767.527.236;Macro;2.811.147.925
11;7.228.354.408;5.250.181.854;Micro;4.652.969.738
22;5.120.816.808;2.205.299.711;Micro;7.474.160.402
46;3.159.829.936;4.261.809.686;Nano;1.611.829.547
49;1.544.552.256;0.062410122;Mega;174.556.761
39;8.437.964.502;2.926.366.891;Mega;1.415.900.868
38;0.857280644;0.218739353;Nano;137.697.369
23;4.037.914.202;2.876.505.548;Micro;7.865.146.156
17;8.482.697.909;0.946148453;Nano;5.892.532.301
57;1.750.937.376;3.912.910.486;Macro;2.044.533.806
24;8.822.604.644;0.388314589;Mega;8.678.602.638
38;1.397.381.157;2.937.255.499;Nano;1.333.876.269
55;1.323.675.142;0.603918273;Mega;1.991.316.965
84;2.793.352.343;3.978.525.877;Macro;3.005.678.307
23;3.424.421.953;1.254.887.329;Nano;8.271.102.545
25;2.157.160.034;0.182594127;Micro;890.932.451
61;2.402.670.153;4.468.540.014;Macro;2.145.067.384
92;362.813.941;7.693.023.889;Mega;3.342.548.231
52;1.471.875.781;5.067.918.073;Micro;1.842.832.675
42;2.504.344.301;7.954.162.784;Macro;1.511.302.268
87;2.626.344.606;466.625.435;Mega;3.140.867.756
23;3.511.058.483;1.668.667.492;Nano;821.296.575
16;1.114.215.614;0.124305507;Micro;5.574.975.786
97;3.159.758.582;609.616.703;Macro;3.456.002.412
83;2.212.318.389;4.548.473.435;Mega;3.010.213.397
32;7.235.169.671;4.165.978.174;Micro;1.142.225.515
81;3.051.678.552;4.253.765.851;Mega;2.863.361.747
81;3.574.400.862;848.557.931;Mega;2.901.991.827
32;9.445.032.076;0.904710414;Nano;1.153.592.435
24;1.104.100.773;0.581803233;Nano;8.290.996.955
93;2.827.465.769;2.404.138.725;Mega;3.283.217.343
52;2.059.744.192;5.687.517.289;Mega;1.836.120.012
21;2.027.718.364;0.54277143;Nano;7.090.876.724
15;7.888.210.849;3.998.362.072;Macro;5.354.400.783
62;1.993.974.943;1.581.668.395;Mega;2.224.692.477
45;1.476.514.666;4.973.730.489;Mega;1.598.115.953
84;2.928.103.583;4.182.346.523;Micro;3.007.539.331
12;846.670.897;4.076.583.625;Mega;4.186.991.628
66;2.316.259.764;2.051.333.546;Mega;2.383.714.378
71;2.168.478.521;4.362.889.043;Mega;2.534.613.277
30;2.763.161.925;1.491.292.036;Nano;1.087.079.901
96;3.613.679.466;8.724.352.447;Nano;3.407.979.819
81;3.601.062.277;9.307.983.043;Micro;2.918.702.502
61;1.362.383.917;1.081.630.027;Mega;2.187.967.423
88;312.965.668;6.268.563.747;Nano;3.122.336.302
95;2.572.170.247;3.653.918.832;Micro;3.387.265.651
32;1.777.874.558;6.010.796.578;Macro;1.088.352.652
23;3.159.149.146;1.838.038.355;Mega;8.446.857.638
19;1.184.308.384;1.411.744.529;Macro;6.378.917.282
99;3.530.814.816;8.233.628.806;Macro;3.478.821.393
21;1.772.849.806;1.316.670.346;Micro;7.279.319.186
83;2.264.766.991;1.815.303.053;Macro;2.943.729.329
34;9.529.038.854;0.046324514;Macro;122.398.031
65;2.182.868.204;3.852.364.912;Macro;2.260.680.983
42;1.166.685.228;3.124.114.188;Nano;1.476.703.206
28;1.174.288.588;1.545.790.536;Nano;1.086.542.411
84;2.315.883.778;6.493.394.974;Macro;3.019.796.888
74;3.120.063.184;5.956.147.638;Macro;2.620.000.087
58;3.149.936.776;537.443.682;Micro;2.030.578.945
63;217.928.057;0.393588978;Nano;2.238.418.947
46;2.195.980.933;0.880593234;Micro;164.791.014
51;2.491.648.619;4.628.289.393;Mega;1.803.746.086
42;9.352.963.721;0.606126647;Mega;1.463.577.853
98;312.897.755;4.623.306.125;Nano;3.439.400.859
18;1.013.781.443;3.181.971.706;Macro;6.654.840.294
72;1.946.438.929;1.767.531.142;Nano;2.580.178.365
90;2.994.190.176;8.348.998.109;Mega;3.207.153.444
47;1.385.470.607;372.361.948;Macro;1.670.873.958
11;1.525.965.583;1.938.091.205;Micro;4.271.995.548
59;130.213.872;3.264.331.675;Micro;2.110.777.734
49;1.575.874.251;1.621.958.375;Macro;1.730.991.172
51;2.328.772.776;6.650.243.242;Mega;1.782.981.283
49;2.308.245.994;5.745.417.559;Macro;1.737.272.456
88;257.813.623;5.715.407.905;Macro;3.136.573.391
49;154.419.208;0.064057634;Mega;1.757.308.268
21;5.092.818.753;1.400.162.555;Mega;8.100.013.719
84;3.349.221.879;9.638.966.346;Nano;2.974.868.165
13;4.027.757.616;0.216286524;Micro;4.406.889.906
55;1.131.363.936;1.457.213.766;Nano;1.928.000.619
73;1.896.636.214;4.058.402.635;Mega;2.608.904.476
47;1.983.138.083;2.825.675.852;Micro;170.979.336
34;162.792.597;5.187.613.793;Macro;1.194.727.749
98;2.623.075.658;4.307.673.455;Mega;3.475.747.397
72;2.940.183.996;0.883780673;Micro;2.552.829.028
59;2.835.102.374;6.541.167.803;Macro;2.103.998.707
88;3.399.232.228;5.781.691.282;Mega;3.116.077.516
94;3.121.314.927;6.894.316.975;Nano;3.343.205.757
55;1.372.729.882;3.332.910.977;Nano;2.011.568.419
23;1.072.553.038;0.564039183;Nano;8.078.641.866
63;1.610.084.562;3.055.372.489;Micro;2.241.978.986
31;7.047.015.203;4.181.179.206;Nano;107.972.791
29;1.153.545.476;391.664.274;Micro;1.038.823.237
100;3.847.062.883;5.793.620.023;Macro;3.583.505.386
21;6.286.843.929;0.13183582;Macro;7.140.097.342
15;0.388039549;1.104.823.047;Macro;5.203.837.385
63;1.347.689.876;3.355.966.243;Macro;2.261.354.247
43;2.720.006.849;8.702.652.377;Mega;1.536.567.212
97;4.233.165.435;8.486.323.788;Mega;3.483.927.363
19;9.057.538.981;1.480.035.413;Macro;6.936.480.656
100;3.240.065.311;3.784.145.331;Nano;3.550.516.262
62;1.156.312.736;1.926.692.956;Mega;2.206.092.421
37;7.258.206.804;458.201.222;Nano;1.317.305.548
88;2.502.655.962;4.133.996.812;Nano;3.149.454.726
33;8.177.614.367;3.447.205.649;Nano;1.194.005.846
37;5.264.623.343;2.531.732.224;Nano;1.309.591.588
66;239.153.958;3.955.480.444;Mega;2.406.929.268
79;2.055.638.571;257.738.922;Macro;2.812.953.957
67;2.753.356.057;1.045.392.075;Macro;2.425.873.706
43;1.410.622.944;0.750124734;Macro;1.465.321.116
61;2.724.136.991;4.250.422.344;Nano;2.144.367.376
81;3.066.125.373;7.211.115.245;Micro;2.911.435.571
17;8.797.291.422;2.409.158.219;Macro;6.121.910.758
90;2.522.566.644;3.061.937.926;Micro;3.210.701.137
16;5.735.731.245;2.354.334.527;Macro;5.820.951.843
68;1.977.617.983;3.217.632.434;Micro;2.408.030.093
90;3.272.547.832;8.829.536.236;Mega;3.194.375.263
61;2.223.934.576;819.479.117;Macro;2.143.964.426
32;1.057.992.982;0.064459595;Mega;1.170.207.161
29;1.299.586.641;0.270843681;Nano;1.074.545.729
92;314.612.923;1.744.870.623;Micro;3.300.147.603
82;2.960.111.386;6.481.908.539;Macro;2.922.098.585
